date_extraction,temperature,clouds,pressure,visibility,wind_speed,humidity,wind_degree,ville
2022-10-06,16.9,89,1007.4,,14.7,74,179,Buenos Aires
2022-10-07,19.4,11,1004.8,,16.5,48,288,Buenos Aires
2022-10-08,15.0,73,1005.6,,27.3,55,243,Buenos Aires
2022-10-09,13.0,21,1018.1,,17.3,43,234,Buenos Aires
2022-10-10,15.4,14,1021.0,,15.3,55,67,Buenos Aires
2022-10-11,15.7,12,1017.5,,13.2,61,59,Buenos Aires
2022-10-12,19.5,11,1009.8,,18.9,50,327,Buenos Aires
2022-10-13,16.1,54,1016.9,,22.2,42,184,Buenos Aires
2022-10-14,13.1,59,1028.0,,21.8,57,97,Buenos Aires
2022-10-15,14.1,74,1026.0,,17.9,71,93,Buenos Aires
2022-10-16,14.5,32,1021.8,,21.5,79,119,Buenos Aires
2022-10-17,15.7,58,1023.8,,29.1,75,106,Buenos Aires
2022-10-18,16.7,62,1021.7,,27.2,76,101,Buenos Aires
2022-10-19,18.1,81,1015.0,,18.4,80,88,Buenos Aires
2022-10-20,18.1,97,1008.0,,9.2,91,82,Buenos Aires
2022-10-21,18.1,52,1009.3,,16.6,83,128,Buenos Aires
2022-10-22,13.4,77,1017.9,,24.3,77,164,Buenos Aires
2022-10-23,14.0,40,1019.9,,18.2,76,111,Buenos Aires
2022-10-24,18.0,10,1015.9,,16.4,80,71,Buenos Aires
2022-10-25,20.6,62,1010.3,,17.3,72,58,Buenos Aires
2022-10-26,19.1,76,1002.2,,23.0,78,287,Buenos Aires
2022-10-27,19.2,1,1006.0,,19.4,50,256,Buenos Aires
2022-10-28,23.0,40,1003.3,,18.5,54,309,Buenos Aires
2022-10-29,22.2,29,999.8,,15.3,65,76,Buenos Aires
2022-10-30,15.6,65,1005.9,,25.1,71,174,Buenos Aires
2022-10-31,12.1,39,1025.2,,24.4,52,197,Buenos Aires
2022-11-01,14.0,0,1028.4,,9.0,63,75,Buenos Aires
2022-11-02,18.8,0,1026.8,,12.0,53,6,Buenos Aires
2022-11-03,18.8,0,1025.4,,16.1,65,90,Buenos Aires
2022-11-04,18.0,0,1022.9,,22.7,71,87,Buenos Aires
2022-11-05,19.2,2,1021.2,,23.8,64,74,Buenos Aires
2022-11-06,20.0,1,1021.7,,24.9,65,75,Buenos Aires
2022-11-07,20.2,1,1021.6,,24.0,65,71,Buenos Aires
2022-11-08,20.2,1,1018.8,,22.3,62,57,Buenos Aires
2022-11-09,21.0,54,1013.9,,20.2,59,54,Buenos Aires
2022-11-10,21.8,71,1011.6,,18.2,61,64,Buenos Aires
2022-11-11,22.5,50,1010.1,,15.6,67,85,Buenos Aires
2022-11-12,22.6,92,1007.6,,13.6,68,68,Buenos Aires
2022-11-13,21.6,98,1003.2,,16.6,80,92,Buenos Aires
2022-11-14,18.9,73,1001.6,,27.7,74,228,Buenos Aires
2022-11-15,21.8,0,1008.9,,17.0,55,247,Buenos Aires
2022-11-16,23.9,18,1013.2,,11.3,63,11,Buenos Aires
2022-11-17,23.6,80,1014.8,,21.0,64,96,Buenos Aires
2022-11-18,24.1,93,1011.6,,19.9,69,95,Buenos Aires
2022-11-19,26.2,100,1006.9,,20.1,57,354,Buenos Aires
2022-11-20,23.6,100,1006.6,,13.6,71,172,Buenos Aires
2022-11-21,17.1,89,1011.6,,23.9,82,189,Buenos Aires
2022-11-22,17.1,21,1012.2,,15.4,64,211,Buenos Aires
2022-11-23,21.4,16,1008.9,,16.7,54,335,Buenos Aires
2022-11-24,25.1,11,1009.7,,15.9,56,335,Buenos Aires
2022-11-25,20.5,22,1017.0,,24.9,71,115,Buenos Aires
2022-11-26,23.2,58,1016.3,,19.5,77,96,Buenos Aires
2022-11-27,24.7,5,1015.8,,20.1,70,82,Buenos Aires
2022-11-28,25.7,29,1010.9,,19.1,65,67,Buenos Aires
2022-11-29,27.0,72,1004.9,,20.4,57,35,Buenos Aires
2022-11-30,24.9,91,1003.5,,15.2,69,75,Buenos Aires
2022-12-01,20.5,88,1007.3,,24.9,77,188,Buenos Aires
2022-12-02,19.7,39,1011.4,,13.8,74,121,Buenos Aires
2022-12-03,21.7,51,1009.8,,12.3,61,76,Buenos Aires
2022-12-04,23.8,16,1008.0,,10.1,69,57,Buenos Aires
2022-12-05,26.3,0,1009.3,,12.6,66,56,Buenos Aires
2022-12-06,27.7,9,1009.4,,18.5,59,36,Buenos Aires
2022-12-07,28.4,52,1007.0,,14.5,54,42,Buenos Aires
2022-12-08,29.0,27,1003.0,,11.5,58,6,Buenos Aires
2022-12-09,29.3,32,1003.2,,16.9,62,58,Buenos Aires
2022-12-10,25.5,27,1008.8,,23.8,64,102,Buenos Aires
2022-12-11,29.2,20,1004.2,,22.4,57,303,Buenos Aires
2022-12-12,22.5,43,1005.4,,15.2,43,156,Buenos Aires
2022-12-13,21.9,3,1009.6,,11.2,55,61,Buenos Aires
2022-12-14,26.8,11,1006.5,,20.5,48,11,Buenos Aires
2022-12-15,23.3,50,1011.3,,20.5,63,135,Buenos Aires
2022-12-16,19.5,17,1015.4,,22.7,64,112,Buenos Aires
2022-12-17,20.8,24,1012.4,,20.1,59,85,Buenos Aires
2022-12-18,22.5,21,1013.1,,21.5,62,77,Buenos Aires
2022-12-19,23.6,10,1013.7,,21.2,65,79,Buenos Aires
